leg,cart_offset,length,dest,mode,above_16m
char-cuilan,0x033a5800,0x9800,0x0de6a3e0,DMA,1
char-baek,0x033aa800,0x9800,0x0de573e0,DMA,1
char-baek,0x033b4000,0x9800,0x0de60be0,DMA,1
char-baek,0x033bd800,0x9800,0x0de6a3e0,DMA,1
char-baek,0x033c7000,0x9800,0x0de73be0,DMA,1
char-baek,0x033d0800,0x9800,0x0de7d3e0,DMA,1
char-baek,0x033da000,0x4800,0x0de86be0,DMA,1
char-baek,0x033de800,0x9800,0x0de4dbe0,DMA,1
char-baek,0x033e8000,0x9800,0x0de573e0,DMA,1
char-baek,0x033f1800,0x9800,0x0de60be0,DMA,1
char-baek,0x033fb000,0x9000,0x0de6a3e0,DMA,1
char-fabian,0x03418000,0xa800,0x0ddc2960,DMA,1
char-fabian,0x03452800,0x3800,0x0ddc2960,DMA,1
2p-stages,0x03456000,0xd800,0x0de7dc00,DMA,1
testmenu2,0x03456000,0xd800,0x0de7dc80,DMA,1
char-karel,0x03463800,0x4800,0x0ddc2960,DMA,1
char-karel,0x03468000,0xc000,0x0ddc2960,DMA,1
char-karel,0x03474000,0x5000,0x0ddc2960,DMA,1
char-ernula,0x03647000,0x3800,0x0dd7d020,DMA,1
char-ernula,0x0364a800,0x4800,0x0dd7d020,DMA,1
char-ernula,0x0364f000,0x4000,0x0dd7d020,DMA,1
2p-stages,0x036cf800,0xc800,0x0de4dbe0,DMA,1
2p-stages,0x036dc000,0x31000,0x0de5a3e0,DMA,1
2p-stages,0x0370d000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x03716800,0x9800,0x0de573e0,DMA,1
2p-stages,0x03720000,0x9800,0x0de60be0,DMA,1
2p-stages,0x03729800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x03733000,0x9800,0x0de73be0,DMA,1
2p-stages,0x0373c800,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x03746000,0x4800,0x0de86be0,DMA,1
2p-stages,0x0374a800,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x03754000,0x9800,0x0de573e0,DMA,1
2p-stages,0x0375d800,0x9800,0x0de60be0,DMA,1
2p-stages,0x03767000,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x03770800,0x9800,0x0de73be0,DMA,1
2p-stages,0x0377a000,0x9800,0x0de7d3e0,DMA,1
2p-stages,0x03783800,0x4800,0x0de86be0,DMA,1
2p-stages,0x03788000,0x9800,0x0de4dbe0,DMA,1
2p-stages,0x03791800,0x9800,0x0de573e0,DMA,1
2p-stages,0x0379b000,0x9800,0x0de60be0,DMA,1
2p-stages,0x037a4800,0x9800,0x0de6a3e0,DMA,1
2p-stages,0x037ae000,0x9800,0x0de73be0,DMA,1
